1|1|1|1|2025-11-23|Rejected|Another reservation was approved for this date.
2|2|1|1|2025-11-23|Approved|
3|2|1|1|2025-11-24|Approved|
4|2|1|1|2025-11-25|Approved|
5|2|1|1|2025-11-26|Approved|
6|2|1|1|2025-11-27|Approved|
7|3|3|1|2025-11-26|Rejected|I hate him
8|3|3|1|2025-11-27|Rejected|I hate him
9|3|3|1|2025-11-28|Rejected|I hate him
10|3|3|1|2025-11-29|Rejected|I hate him
11|4|3|1|2025-12-02|Rejected|Cancelled by guest.
12|5|3|1|2025-11-27|Approved|
13|6|5|1|2025-11-23|Pending|
14|6|5|1|2025-11-24|Pending|
15|6|5|1|2025-11-25|Pending|
16|6|5|1|2025-11-26|Pending|
17|6|5|1|2025-11-27|Pending|
18|6|5|1|2025-11-28|Pending|
19|6|5|1|2025-11-29|Pending|
20|6|5|1|2025-11-30|Pending|
21|6|5|1|2025-12-01|Pending|
22|6|5|1|2025-12-02|Pending|
23|6|5|1|2025-12-03|Pending|
24|7|6|1|2025-11-23|Rejected|Cancelled by guest.
25|8|6|1|2025-11-23|Rejected|Necu da ti odobrim bre
26|9|8|1|2025-11-23|Approved|
27|10|7|1|2025-11-23|Pending|
28|10|7|1|2025-11-24|Pending|
29|10|7|1|2025-11-25|Pending|
30|10|7|1|2025-11-26|Pending|
31|10|7|1|2025-11-27|Pending|
